Insect_order	Insect_family	Insect_genus	Insect_species	P1181	P1463	P1632	P1860	P2080	P2283	P2379	P2587
Acari	Acari	Acari	Acari_sp.	0	0	0	1	0	0	0	0
Araneae	Lycosidae	Lycosidae	Lycosidae_sp.	0	0	1	0	0	0	1	0
Araneae	Pisauridae	Pisauridae	Pisauridae_sp.	0	0	0	0	0	1	0	0
Araneae	Salticidae	Salticidae	Salticidae_sp.	0	1	0	0	0	0	0	0
Araneae	Tetragnathidae	Tetragnathidae	Tetragnathidae_sp.	0	0	0	0	0	0	0	1
Araneae	Thomisidae	Thomisidae	Thomisidae_sp.	6	0	0	0	0	0	0	0
Coleoptera	Buprestidae	Buprestidae	Buprestidae_sp.	0	0	1	0	0	0	0	0
Coleoptera	Cantharidae	Cantharidae	Cantharidae_sp.	3	3	1	0	0	0	0	0
Coleoptera	Carabidae	Carabidae	Carabidae_sp.	0	0	0	0	1	0	0	0
Coleoptera	Cerambycidae	Cerambycidae	Cerambycidae_sp.	2	4	0	3	1	0	2	0
Coleoptera	Chrysomelidae	Bruchidae	Bruchidae_sp.	0	5	0	0	0	0	0	0
Coleoptera	Chrysomelidae	Chrysomelidae	Chrysomelidae_sp.	13	3	0	0	1	0	0	1
Coleoptera	Cleridae	Cleridae	Cleridae_sp.	0	0	1	0	0	0	0	0
Coleoptera	Coccinellidae	Coccinellidae	Coccinellidae_sp.	1	1	0	0	0	0	0	1
Coleoptera	Cryptophagidae	Cryptophagidae	Cryptophagidae_sp.	0	0	0	1	0	0	0	0
Coleoptera	Curculionidae	Anoplus	Anoplus_sp.	1	0	2	0	0	51	0	0
Coleoptera	Curculionidae	Curculionidae	Curculionidae_sp.	0	3	0	5	19	1	0	0
Coleoptera	Elateridae	Elateridae	Elateridae_sp.	6	2	0	1	3	3	0	1
Coleoptera	Melyridae	Melyridae	Melyridae_sp.	0	0	0	0	0	60	0	0
Coleoptera	Nitidulidae	Nitidulidae	Nitidulidae_sp.	2	0	1	0	0	0	0	0
Coleoptera	Oedemeridae	Oedemeridae	Oedemeridae_sp.	0	3	0	0	0	0	0	0
Coleoptera	Ptinidae	Ptinidae	Ptinidae_sp.	0	1	0	0	0	0	0	0
Coleoptera	Scarabaeidae	Phyllopertha	Phyllopertha_horticola	1	0	1	4	1	3	1	0
Coleoptera	Scarabaeidae	Scarabaeidae	Scarabaeidae_sp.	4	1	0	0	0	0	0	1
Coleoptera	Staphylinidae	Anthomyzidae	Anthomyzidae_sp.	0	0	0	1	0	0	0	0
Coleoptera	Staphylinidae	Anthophagus	Anthophagus_sp.	0	0	0	3	9	1	0	26
Coleoptera	Staphylinidae	Eusphalerum	Eusphalerum_sp.	1	0	1	53	255	8	163	14
Coleoptera	Staphylinidae	Staphylinidae	Staphylinidae_sp.	0	0	1	0	3	11	1	1
Collembola	Collembola	Collembola	Collembola_sp.	0	0	0	0	0	0	0	1
Collembola	Dicyrtomidae	Dicyrtomidae	Dicyrtomidae_sp.	0	0	0	0	0	0	4	0
Collembola	Entomobryidae	Entomobryidae	Entomobryidae_sp.	0	0	0	0	2	0	0	11
Collembola	Isotomidae	Isotomidae	Isotomidae_sp.	0	0	0	0	0	1	0	1
Collembola	Katiannidae	Katiannidae	Katiannidae_sp.	0	0	0	0	1	0	0	0
Collembola	Sminthuridae	Sminthuridae	Sminthuridae_sp.	0	0	0	0	2	1	0	0
Diptera	Agromyzidae	Agromyzidae	Agromyzidae_sp.	5	4	4	18	16	6	1	1
Diptera	Agromyzidae	Hydrophoria	Hydrophoria_diabata	0	0	0	1	0	0	0	0
Diptera	Anthomyiidae	Adia	Adia_cinerella	0	0	1	0	0	0	0	0
Diptera	Anthomyiidae	Anthomyia	Anthomyia_liturata	0	1	0	0	0	0	0	0
Diptera	Anthomyiidae	Anthomyiidae	Anthomyiidae_sp.	0	0	3	3	0	0	1	0
Diptera	Anthomyiidae	Anthophagus	Anthophagus_sp.	0	0	0	1	0	0	0	0
Diptera	Anthomyiidae	Botanophila	Botanophila_fugax	0	2	0	0	0	0	0	0
Diptera	Anthomyiidae	Botanophila	Botanophila_sp.	7	21	42	29	4	9	5	5
Diptera	Anthomyiidae	Botanophila	Botanophila_striolata	0	0	0	0	0	0	3	0
Diptera	Anthomyiidae	Botanophila	Botanophila_varicolor	13	20	21	8	4	10	1	2
Diptera	Anthomyiidae	Chiastocheta	Chiastocheta_trollii	0	0	1	0	0	0	0	0
Diptera	Anthomyiidae	Delia	Delia_nuda	0	0	0	0	0	1	1	0
Diptera	Anthomyiidae	Delia	Delia_sp.	0	0	0	0	0	0	1	0
Diptera	Anthomyiidae	Egle	Egle_inermis	0	0	0	0	0	1	0	0
Diptera	Anthomyiidae	Heterostylodes	Heterostylodes_nominabilis	2	0	0	0	0	0	0	0
Diptera	Anthomyiidae	Hydrophoria	Hydrophoria_diabata	0	0	0	1	0	0	0	0
Diptera	Anthomyiidae	Hydrophoria	Hydrophoria_lancifer	0	0	1	2	0	0	0	0
Diptera	Anthomyiidae	Hydrophoria	Hydrophoria_sp.	0	1	0	0	0	0	0	0
Diptera	Anthomyiidae	Hylemya	Hylemya_vagans	0	1	1	2	0	0	0	0
Diptera	Anthomyiidae	Hylemya	Hylemya_variata	0	0	2	6	0	0	0	0
Diptera	Anthomyiidae	Pegoplata	Pegoplata_aestiva	29	77	336	231	63	46	14	17
Diptera	Anthomyiidae	Phorbia	Phorbia_fumigata	0	0	0	2	0	0	1	0
Diptera	Anthomyiidae	Anthomyiidae2	Anthomyiidae2_sp.	37	22	428	303	15	92	15	5
Diptera	Anthomyiidae	Delia2	Delia2_sp.	1	0	0	0	0	0	0	0
Diptera	Anthomyzidae	Anthomyzidae	Anthomyzidae_sp.	0	0	0	1	0	1	0	0
Diptera	Asilidae	Asilidae	Asilidae_sp.	1	0	0	0	0	0	0	1
Diptera	Athericidae	Athericidae	Athericidae_sp.	0	0	1	0	0	0	0	0
Diptera	Bibionidae	Bibionidae	Bibionidae_sp.	1	1	3	5	5	2	0	0
Diptera	Bibionidae	Dilophus	Dilophus_sp.	0	0	0	3	0	0	0	0
Diptera	Calliphoridae	Calliphoridae	Calliphoridae_sp.	26	10	1	0	2	3	0	0
Diptera	Camillidae	Camillidae	Camillidae_sp.	0	0	0	0	1	0	0	0
Diptera	Carnidae	Carnidae	Carnidae_sp.	5	0	0	1	0	0	0	0
Diptera	Carnidae	Meoneura	Meoneura_sp.	1	0	0	0	0	0	0	0
Diptera	Cecidomyiidae	Cecidomyiidae	Cecidomyiidae_sp.	1	0	0	1	3	2	1	0
Diptera	Cecidomyiidae	Cecidomyiidae2	Cecidomyiidae2_sp.	0	0	0	1	0	0	0	0
Diptera	Cecidomyiidae	Cecidomyiidae3	Cecidomyiidae3_sp.	0	0	0	1	0	0	0	0
Diptera	Ceratopogonidae	Ceratopogonidae	Ceratopogonidae_sp.	10	8	2	1	0	14	0	0
Diptera	Chaoboridae	Chaoboridae	Chaoboridae_sp.	0	2	0	0	0	0	0	0
Diptera	Chironomidae	Chironomidae	Chironomidae_sp.	1	6	0	4	15	1	2	1
Diptera	Chloropidae	Chloropidae	Chloropidae_sp.	16	27	8	22	6	11	8	1
Diptera	Dolichopodidae	Dolichopodidae	Dolichopodidae_sp.	12	1	1	0	3	1	0	0
Diptera	Empididae	Empididae	Empididae_sp.	80	23	45	26	43	57	54	75
Diptera	Ephydridae	Ephydridae	Ephydridae_sp.	2	2	1	1	1	5	1	0
Diptera	Fanniidae	Fannia	Fannia_sp.	0	0	0	0	1	0	0	0
Diptera	Fanniidae	Fanniidae	Fanniidae_sp.	0	2	0	9	5	0	0	13
Diptera	Hybotidae	Hybotidae	Hybotidae_sp.	0	0	2	2	0	1	0	1
Diptera	Lauxaniidae	Lauxaniidae	Lauxaniidae_sp.	0	1	0	0	0	1	0	0
