Group	P1181	P1463	P1632	P1860	P2080	P2283	P2379	P2587
Achillea_millefolium	0.527777778	1.363636364	1.972222222	0.375	0	0	0	0
Achillea_atrata	0	0	0	0	0	0.194444444	0	0
Aconitum_lycoctonum	0	0	0	0	0	0.005555556	0	0
Aconitum_tauricum	0	0	0	0	0.03125	0.333333333	0	0
Adenostyles_alliariae	0	0	0	0	0	0.055555556	0	0
Ajuga_reptans	0.061111111	0	0	0	0	0	0	0
Alchemilla_coriacea	0	0	0	0	1.75	0	0	0
Alchemilla_fissa	0	0	0	0	0.09375	1.055555556	0	0
Alchemilla_glabra	0	0	0	0	0.125	0	0	0
Alchemilla_xanthochlora	4.416666667	6	9.138888889	3.28125	0.625	0.666666667	0.041666667	0
Androsace_obtusifolia	0	0	0	0	0	0	0.041666667	0
Antennaria_sp.	0	0	0	0	0	0	0.016666667	0
Arabis_alpina	0	0	0	0	0	0.777777778	0	0.008333333
Arabis_soyeri	0	0	0	0	0	0.033333333	0	0
Plocama_calabrica	0	0	0	0	0	0	0	0.041666667
Astragalus_alpinus	0	0	0	0	0	0	0	2
Astragalus_norvegicus	0	0	0	0	0	0.111111111	0	0
Bartsia_alpina	0	0	0	0	0.09375	0.361111111	1.458333333	0
Aster_bellidiastrum	0.505555556	0.1	0.111111111	0.0625	1.06875	0.388888889	0.458333333	0
Bellis_perennis	0.027777778	0.281818182	0	0.03125	0	0	0	0
Calluna_vulgaris	4.444444444	0.227272727	0.222222222	0.40625	2.1875	0	0	0.041666667
Caltha_palustris	0	0	0	0	3.125	0	0	0
Campanula_barbata	0.277777778	0	0	0	0.225	0.116666667	0	0
Campanula_rotundifolia	0.2	0.136363636	0.172222222	0.23125	0	0	0	0
Campanula_scheuchzeri	0	0.009090909	0	0.0875	0.15625	0.694444444	0.3	0
Cardamine_amara	0	0	0	0	0.09375	0	0	0
Carduus_defloratus	0	0	0	0	0.00625	0	0	0
Carlina_acaulis	0.055555556	0.136363636	0	0	0	0	0	0
Carum_carvi	0.055555556	0.818181818	0	0.34375	0.4375	0	0	0
Centaurea_jacea	0.194444444	0	0	0	0	0	0	0
Centaurea_scabiosa	0.055555556	0	0	0	0	0	0	0
Cerastium_fontanum	0.072222222	0.072727273	0.005555556	0.21875	0.00625	0.033333333	0.083333333	0
Cerastium_latifolium	0	0	0	0	0	0	0	0.041666667
Cerastium_sp.	0	0	0.027777778	0	0	0	0	0
Cerastium_uniflorum	0	0	0	0	0	0	0	0.291666667
Chrysosplenium_macrophyllum	0	0	0.277777778	0	0	0	0	0
Cirsium_acaule	0.027777778	0	0	0	0	0	0	0
Cirsium_palustre	0	0	0	0	0	0.055555556	0	0
Cirsium_spinosissimum	0	0	0	0	0.0625	0.555555556	0	0
Dactylorhiza_viridis	0	0	0	0	0	0.005555556	0.033333333	0
Comastoma_nanum	0	0	0	0	0	0	0	0.216666667
Crepis_aurea	0.194444444	0	0	0.1875	0	0.111111111	0.258333333	0
Crepis_conyzifolia	0	0.136363636	0	0	0	0	0	0
Crocus_caeruleus	0.166666667	0.227272727	0.333333333	0.0625	0	0	0	0
Dactylorhiza_maculata	0	0.045454545	0	0	0	0	0	0
Dactylorhiza_sp.	0.027777778	0	0	0	0	0	0	0
Dianthus_glacialis	0	0	0	0	0	0.027777778	0.083333333	0
Doronicum_glaciale	0	0	0	0	0	0.833333333	0.166666667	2.25
Dryas_octopetala	0	0	0	0	0	0.055555556	7.791666667	0
Epilobium_anagallidifolium	0	0	0	0	0	0.138888889	0	0
Epilobium_angustifolium	0	0	0	0	0.0625	0	0	0
Erigeron_uniflorus	0	0	0	0	0	0	0.008333333	0.166666667
Euphrasia_minima	0	0	0	0.125	0.1	0.277777778	0.166666667	0.166666667
Euphrasia_officinalis	0	0	0.111111111	0	0	0	0	0
Euphrasia_rostkoviana	0	0	0.027777778	0	0.00625	0	0	0
Ficaria_verna	0	0	0.055555556	0	0	0	0	0
Fragaria_vesca	0.055555556	0	0	0	0	0	0	0
Galium_album	0	0	0	0	0	0.055555556	0	0
Galium_anisophyllon	0	0	0.027777778	0	0	0.111111111	0	0
Galium_mollugo	0.444444444	0.590909091	0.027777778	0	0	0	0	0
Galium_pumilum	0	0.090909091	0.111111111	0	0	0.055555556	0	0
Gentiana_acaulis	0	0	0	0.125	0.40625	0.083333333	0	0
Gentianella_germanica	0	0	0	0	0	0.027777778	0	0
Gentiana_nivalis	0	0	0	0	0	0.233333333	0	0
Gentiana_verna	0	0	0.005555556	0	0.03125	0.111111111	0.133333333	0.125
Geranium_sylvaticum	0	0.236363636	0.033333333	0	0	0	0	0
Geum_montanum	0	0	0	2.125	3.1875	1.833333333	0	0
Geum_rivale	0	0	0.138888889	0	0	0	0	0
Helianthemum_oelandicum	0	0	0.005555556	0	0	0	0	0
Helianthemum_nummularium	0	0.045454545	0	0	0	0	0	0
Hieracium_alpinum	0	0	0	0.53125	0.1875	0.055555556	0	0
Hieracium_hoppeanum	0.25	0	0.083333333	0	0	0	0	0
Pilosella_lactucella	0.138888889	0.136363636	0.166666667	0.03125	0	0	0	0
Hieracium_murorum	0	0	0.005555556	0.15625	0	0	0	0
Pilosella_officinarum	0.166666667	0.272727273	0	0.0625	0	0	0	0
Homogyne_alpina	0.277777778	0.236363636	0.25	1.75	4.0625	0.805555556	1.666666667	0
Hypericum_maculatum	0.416666667	2.5	0.111111111	0.09375	0.06875	0	0	0
Leontodon_hispidus	3.222222222	4.590909091	1	2.96875	3.1875	2.638888889	1.416666667	0
Leucanthemopsis_alpina	0	0	0	0	0	0	0.041666667	0
Leucanthemum_vulgare	0.277777778	1.227272727	0	0	0	0	0	0
Ligusticum_mutellina	0	0.009090909	0	0.28125	0.1875	0.805555556	0.25	0
Linaria_alpina	0	0	0	0	0	0	0	0.083333333
Gagea_serotina	0	0	0	0	0	0	0.041666667	0
Loiseleuria_procumbens	0	0	0	0.0625	2.5	0.111111111	6.5	0
Lotus_corniculatus	0.444444444	0.227272727	0.083333333	0	0	0	0	0
Minuartia_rupestris	0	0	0	0	0	0	0	0.166666667
Minuartia_sedoides	0	0	0	0	0	0	0.666666667	0.083333333
Moehringia_ciliata	0	0	0	0	0	0	0	0.5
Myosotis_alpestris	0	0	0	0	0.03125	0.916666667	0.083333333	0.916666667
Myosotis_sylvatica	0	0	0.055555556	0	0	0	0	0
Orchis_mascula	0	0	0	0.00625	0	0	0	0
Oxytropis_campestris	0	0	0	0	0	0.083333333	0	0
Parnassia_palustris	0.027777778	0.045454545	0	0	0	0.505555556	0	0
Pedicularis_asplenifolia	0	0	0	0	0	0	0.041666667	0.958333333
Phyteuma_globulariifolium	0	0	0	0	0	0	0	0.1
Phyteuma_hemisphaericum	0	0	0.005555556	0.03125	0.06875	0	0.041666667	0
Phyteuma_orbiculare	0.138888889	0	0	0	0	0.088888889	0	0
Pimpinella_major	0.888888889	1.5	0	0.0625	0	0	0	0
Pimpinella_saxifraga	0	0.090909091	0	0	0	0	0	0
Plantago_alpina	0	0	0	0	0	0.027777778	0	0
Plantago_lanceolata	2.805555556	2.181818182	0	0	0	0	0	0
Plantago_media	2.361111111	0.863636364	0.055555556	0	0	0	0	0
Persicaria_vivipara	0	0	0	0.0375	0.06875	1.027777778	1.041666667	1.083333333
Polygala_vulgaris	0.138888889	0	0	0	0	0	0	0
Potentilla_aurea	0.694444444	1.045454545	2.027777778	3.3125	1.5	3.055555556	0	0
Potentilla_crantzii	0	0	0	0	0	0.472222222	0	0
Potentilla_erecta	1.638888889	0.772727273	0.5	0.28125	0	0	0	0
Primula_minima	0	0	0	0.25625	0.34375	0.305555556	3.333333333	0.416666667
Primula_elatior	0.033333333	0	0	0	0	0	0	0
Prunella_vulgaris	0.638888889	1.909090909	0.333333333	0	0	0	0	0
Anemone_alpina	0	0.045454545	0.916666667	0.875	1.09375	0.166666667	0	0
Anemone_vernalis	0	0	0	0	0	0.75	0	0
Pyrola_sp.	0	0	0	0	0	0.005555556	0	0
Ranunculus_acris	5	1.590909091	7.472222222	2.625	0.5625	0	0	0
Ranunculus_alpestris	0	0	0	0	0	0.611111111	1.583333333	0.958333333
Ranunculus_montanus	0.027777778	0.545454545	0.305555556	1.46875	0.5	2.305555556	0.791666667	0
Ranunculus_repens	0	0.136363636	0.055555556	0	0.0625	0	0	0
Rhinanthus_glacialis	0	0	0	0	0	0.777777778	0	0
Rhododendron_ferrugineum	0	0	1.527777778	0.09375	0.28125	0	0.041666667	0
Rumex_alpestris	0.388888889	1.5	1.777777778	1.6875	0.03125	0.555555556	0	0
Rumex_alpinus	0	0.045454545	2.194444444	1.40625	0	0	0	0
Sagina_nodosa	0.005555556	0	0.033333333	0	0	0	0	0
Saxifraga_aizoides	0	0	0	0	0.0625	0	0	0.208333333
Saxifraga_androsacea	0	0	0	0	0	0.033333333	0	0
Saxifraga_biflora	0	0	0	0	0	0	0	0.875
Saxifraga_exarata	0	0	0	0	0	0	0	0.208333333
Saxifraga_oppositifolia	0	0	0	0	0	0	0	0.3
Saxifraga_paniculata	0	0	0	0	0	0.027777778	0.333333333	0
Saxifraga_retusa	0	0	0	0	0	0	0	1.75
Saxifraga_rotundifolia	0	0	0.005555556	0	0	0.027777778	0	0
Saxifraga_stellaris	0	0	0	0.03125	0	0.055555556	0	0
Scabiosa_columbaria	0.944444444	0.045454545	0	0	0	0	0	0
Centaurea_jacea	0.027777778	0	0	0	0	0	0	0
Scorzoneroides_autumnalis	0.138888889	1.363636364	0.111111111	0.46875	0	0	0.166666667	0
Scorzoneroides_helvetica	0	0	0.111111111	0	0	0	0.166666667	0
Silene_acaulis	0	0	0.055555556	0	0.1875	0.361111111	3.041666667	15.45833333
Silene_dioica	0.305555556	0.045454545	0	0.00625	0.0375	0	0	0
Silene_nutans	0.138888889	0.227272727	0	0	0	0	0	0
Silene_vulgaris	0.027777778	0.045454545	0	0.03125	0.0625	0	0	0
Soldanella_pusilla	0.005555556	0.090909091	0.111111111	0.125	0.75	0.083333333	0.125	0
Solidago_virgaurea	0	0	0	0	0.03125	0	0	0
Stellaria_graminea	0.111111111	0.227272727	0.011111111	0.0625	0	0	0	0
Taraxacum_campylodes	0.222222222	2.272727273	0.138888889	0.03125	0.21875	0	0	0
Thesium_alpinum	0	0.009090909	0	0	0	0	0	0
Thymus_praecox	2.388888889	1.818181818	0.694444444	0.15625	0.65625	0.583333333	0	0
Traunsteinera_globosa	0	0	0	0	0	0	0.083333333	0
Trifolium_montanum	0	0	0	0.00625	0	0	0	0
Trifolium_badium	0	0	0	0	0.125	0.888888889	0.583333333	0
Trifolium_pallescens	0	0	0	0	0	0.061111111	0.041666667	0
Trifolium_pratense	2.611111111	3.636363636	2.138888889	1.15625	0.25	5.472222222	1.125	0
Trifolium_repens	0.722222222	2.454545455	1.555555556	0.6875	0.09375	0	0	0
Trollius_europaeus	0	0	0.444444444	0.125	0	0	0	0
Tussilago_farfara	0	0	0	0	0	0.055555556	0	0
Urtica_dioica	0	0.090909091	0	0	0	0	0	0
Vaccinium_uliginosum	0	0	0	0	0.03125	0	0	0
Vaccinium_myrtillus	1.138888889	0.590909091	4.388888889	9.75	13.81875	0	0	0
Vaccinium_vitis_idaea	0.611111111	0.090909091	0.388888889	6.84375	6.19375	0.388888889	0.25	0
Veratrum_album	0	0.090909091	1.305555556	0.15625	0.0375	0	0	0
Veronica_alpina	0	0	0.027777778	0.0625	0	0.083333333	0	0
