Plant_species	P1181	P1463	P1632	P1860	P2080	P2283	P2379	P2587
Achillea_atrata	0	0	0	0	0	91	0	0
Achillea_millefolium	16	171	12	2	0	0	0	0
Aconitum_tauricum	0	0	0	0	0	214	0	0
Adenostyles_alliariae	0	0	0	0	0	5	0	0
Ajuga_pyramidalis	0	0	5	0	0	0	0	0
Ajuga_reptans	26	60	0	0	0	0	0	0
Alchemilla_coriacea	0	0	0	0	548	0	0	0
Alchemilla_xanthochlora	4945	2734	6733	3794	134	870	0	0
Androsace_obtusifolia	0	0	0	0	0	45	32	0
Anemone_alpina	0	0	11	35	209	31	0	0
Antennaria_carpatica	0	0	0	0	0	1	0	0
Arabis_alpina	0	0	0	0	0	1237	0	19
Arabis_soyeri	0	0	0	0	0	45	0	0
Arenaria_ciliata	0	0	0	0	0	0	0	79
Arnica_montana	0	0	0	0	0	2	0	0
Astragalus_alpinus	0	0	0	0	0	0	0	448
Astragalus_norvegicus	0	0	0	0	0	15	0	0
Bartsia_alpina	0	0	0	0	0	64	880	0
Bellis_perennis	14	604	0	0	0	0	0	0
Biscutella_laevigata	96	0	0	0	0	0	0	0
Calluna_vulgaris	2174	264	0	273	1024	0	0	0
Caltha_palustris	0	0	0	0	1398	0	0	0
Campanula_barbata	0	0	0	0	10	29	0	0
Campanula_rotundifolia	30	23	56	16	0	0	0	0
Campanula_scheuchzeri	0	0	0	0	23	1564	137	0
Capsella_bursa_pastoris	0	1	0	0	0	0	0	0
Cardamine_amara	0	0	1	15	0	0	0	0
Carduus_defloratus	0	47	0	0	0	0	0	0
Carlina_acaulis	0	1	0	0	0	0	0	0
Carum_carvi	10	527	0	225	0	0	0	0
Centaurea_jacea	6	0	0	0	0	0	0	0
Cerastium_fontanum	3	0	0	39	0	3	3	0
Cerastium_uniflorum	0	0	0	0	0	0	20	129
Chrysosplenium_alternifolium	0	0	90	0	0	0	0	0
Cirsium_acaule	4	0	0	0	0	0	0	0
Cirsium_spinosissimum	0	0	0	0	0	138	0	0
Clinopodium_acinos	3	64	0	0	0	0	0	0
Comastoma_nanum	0	0	0	0	0	0	0	444
Crepis_aurea	9	3	0	16	3	20	7	0
Crepis_conyzifolia	0	3	0	0	0	0	0	0
Dactylorhiza_maculata	1	0	0	0	0	0	0	0
Dianthus_glacialis	0	0	0	0	0	3	5	0
Doronicum_glaciale	0	0	0	0	0	4	7	66
Dryas_octopetala	0	0	0	0	0	0	642	0
Epilobium_alsinifolium	0	0	0	0	0	5	0	0
Erigeron_uniflorus	0	0	0	0	0	2	0	14
Euphrasia_minima	2	5	0	129	123	347	176	5
Euphrasia_officinalis	4	0	128	0	0	0	0	0
Euphrasia_rostkoviana	0	0	0	0	18	0	0	0
Ficaria_verna	0	0	4	0	0	0	0	0
Fragaria_vesca	2	5	0	0	0	0	0	0
Gagea_serotina	0	0	0	0	0	17	7	0
Galeopsis_tetrahit	0	177	0	0	0	0	0	0
Galium_anisophyllon	0	0	0	0	0	146	80	0
Galium_mollugo	66	22	5	0	0	0	0	0
Galium_pumilum	0	368	4	303	0	0	0	0
Gentiana_acaulis	0	0	0	15	78	4	0	0
Gentiana_nivalis	0	0	0	0	0	232	0	0
Gentiana_verna	0	0	2	13	14	44	39	48
Gentianella_germanica	0	0	0	0	0	5	0	0
Geranium_sylvaticum	0	3	0	4	0	0	0	0
Geum_montanum	0	0	0	79	226	501	0	0
Gymnadenia_nigra	0	0	0	0	0	1	0	0
Helianthemum_oelandicum	0	0	0	0	0	0	2	0
Hieracium_alpinum	0	0	0	2	17	0	0	0
Hieracium_hoppeanum	3	0	0	0	0	0	0	0
Hieracium_murorum	0	0	9	0	0	0	0	0
Homogyne_alpina	3	23	2	17	55	0	47	0
Hypericum_maculatum	42	340	3	0	1	0	0	0
Leontodon_hispidus	67	77	20	269	16	237	7	0
Leucanthemopsis_alpina	0	0	0	0	0	0	0	3
Leucanthemum_vulgare	173	117	3	0	0	0	0	0
Ligusticum_mutellina	0	0	0	0	0	23	2	0
Linaria_alpina	0	0	0	0	0	12	0	23
Loiseleuria_procumbens	0	0	0	152	253	0	9	0
Lotus_corniculatus	154	87	0	0	0	0	0	0
Maianthemum_bifolium	0	4	0	0	0	0	0	0
Minuartia_rupestris	0	0	0	0	0	0	0	86
Minuartia_sedoides	0	0	0	0	0	0	1892	964
Minuartia_verna	0	0	0	0	0	0	19	0
Moehringia_ciliata	0	0	0	0	0	0	0	123
Myosotis_alpestris	0	0	0	0	0	935	19	278
Myosotis_sylvatica	0	10	34	0	0	0	0	0
Parnassia_palustris	3	5	0	0	0	729	2	0
Pedicularis_asplenifolia	0	0	0	0	0	0	1	34
Persicaria_vivipara	0	0	0	18	2	415	18	370
Phyteuma_globulariifolium	0	0	0	0	0	0	0	3
Phyteuma_hemisphaericum	0	0	2	6	22	0	0	0
Phyteuma_orbiculare	0	0	0	0	0	29	1	0
Pilosella_lactucella	0	32	0	0	0	0	0	0
Pilosella_officinarum	0	11	0	0	0	0	0	0
Pimpinella_major	305	290	0	0	0	0	0	0
Plantago_lanceolata	603	30	0	0	0	0	0	0
Plantago_media	22	21	17	0	0	0	0	0
Polygala_vulgaris	198	44	1	0	0	0	0	0
Potentilla_aurea	419	258	26	194	5	411	0	0
Potentilla_crantzii	0	0	0	0	0	258	0	0
Potentilla_erecta	4007	287	198	49	0	0	0	0
Potentilla_reptans	7	0	0	0	0	0	0	0
Primula_minima	0	0	0	22	4	5	0	0
Pritzelago_alpina	0	0	0	0	0	0	0	3
Prunella_vulgaris	148	89	115	0	0	0	0	0
Pseudorchis_albida	0	0	0	1	0	0	0	0
Ranunculus_acris	320	324	691	1347	135	0	0	0
Ranunculus_alpestris	0	0	0	0	0	1108	350	45
Ranunculus_montanus	0	23	235	162	95	303	106	0
Ranunculus_repens	0	47	0	0	0	0	0	0
Rhinanthus_alectorolophus	7	0	0	0	0	0	0	0
Rhinanthus_glacialis	0	0	0	0	0	1915	0	0
Rhododendron_ferrugineum	0	0	1	157	4	0	0	0
Rumex_alpestris	123	186	227	200	0	274	0	0
Rumex_alpinus	0	0	109	331	0	0	0	0
Sagina_nodosa	3	0	0	0	0	0	0	0
Saxifraga_aizoides	0	0	0	0	0	57	0	11
Saxifraga_androsacea	0	0	0	0	0	15	0	0
Saxifraga_exarata	0	0	0	0	0	0	2	74
Saxifraga_oppositifolia	0	0	0	0	0	0	0	3
Saxifraga_paniculata	0	0	0	0	0	35	101	0
Saxifraga_rotundifolia	0	0	7	0	0	0	0	0
Saxifraga_stellaris	0	0	0	50	0	107	0	0
Scabiosa_columbaria	36	5	0	0	0	0	0	0
Scorzoneroides_autumnalis	39	102	96	4	0	0	0	0
Sempervivum_montanum	0	0	0	0	5	0	0	0
Silene_acaulis	0	0	0	0	264	172	1767	1302
Silene_dioica	0	0	2	0	0	28	0	0
Silene_nutans	13	16	0	0	0	0	0	0
Silene_vulgaris	2	8	1	0	14	4	0	0
Soldanella_pusilla	0	0	0	49	2	10	0	0
Stellaria_graminea	233	319	13	0	0	0	0	0
Stellaria_nemorum	0	0	0	4	0	0	0	0
Taraxacum_campylodes	35	318	3	1	0	0	0	0
Thymus_praecox	1692	256	325	12	98	64	0	0
Thymus_pulegioides	0	68	0	45	0	0	0	0
Tofieldia_calyculata	0	0	0	0	1	0	2	0
Trifolium_badium	0	0	0	0	13	290	18	0
Trifolium_pallescens	0	0	0	0	0	1	2	0
Trifolium_pratense	306	252	133	23	21	2297	44	0
Trifolium_repens	59	158	194	136	14	0	0	0
Trollius_europaeus	0	0	1	0	0	0	0	0
Vaccinium_myrtillus	1	95	46	198	1937	0	0	0
Vaccinium_vitis_idaea	79	18	0	621	8	0	0	0
Veratrum_album	0	0	0	0	117	0	0	0
Veronica_alpina	0	0	19	1	0	0	0	0
Veronica_chamaedrys	161	98	0	45	0	0	0	0
Veronica_officinalis	31	104	9	0	0	0	0	0
Veronica_serpyllifolia	0	2	98	9	0	0	0	0
Viola_biflora	1	1	12	35	40	0	0	0
Viola_canina	3	22	4	5	0	0	0	0
Aster_bellidiastrum	0	0	21	4	0	14	48	0
