Group	1179T1	1460T1	1628T1	1856T1	2084T1	2276T1	2381T1	2580T1	1181T2	1463T2	1632T2	1862T2	2085T2	2283T2	2380T2	2583T2	1184T3	1467T3	1636T3	1863T3	2072T3	2289T3	2377T3	2597T3
Achillea_millefolium	0.666666667	1.25	0.583333333	0.5	0	0	0	0	0.583333333	1.2	4.666666667	0.125	0	0	0	0	0.333333333	2	0.666666667	0.416666667	0	0	0	0
Achillea_atrata	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.333333333	0	0
Aconitum_lycoctonum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016666667	0	0	0	0	0	0	0	0	0	0
Aconitum_tauricum	0	0	0	0	0	1	0	0	0	0	0	0	0.083333333	0	0	0	0	0	0	0	0	0	0	0
Adenostyles_alliariae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0
Ajuga_reptans	0.083333333	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alchemilla_coriacea	0	0	0	0	0	0	0	0	0	0	0	0	4.666666667	0	0	0	0	0	0	0	0	0	0	0
Alchemilla_fissa	0	0	0	0	0.125	0	0	0	0	0	0	0	0.166666667	1.5	0	0	0	0	0	0	0	1.666666667	0	0
Alchemilla_glabra	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0
Alchemilla_xanthochlora	4.5	6.5	7.416666667	0.75	1	0.166666667	0.125	0	3	5.6	11.25	0.25	0	1	0	0	5.75	6	8.75	7.833333333	1	0.833333333	0	0
Androsace_obtusifolia	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antennaria_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0.025	0
Arabis_alpina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	2.333333333	0	0
Arabis_soyeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0
