Plant_species	1179T1	1181T2	1184T3	1460T1	1463T2	1467T3	1628T1	1632T2	1636T3	1856T1	1862T2	1863T3	2072T3	2084T1	2085T2	2276T1	2283T2	2289T3	2377T3	2380T2	2381T1	2580T1	2583T2	2597T3
Achillea_atrata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	59	0	0	0	0	0	0
Achillea_millefolium	7	8	1	83	71	17	2	5	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Aconitum_tauricum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	93	0	0	0	0	0	0
Adenostyles_alliariae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Ajuga_pyramidalis	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ajuga_reptans	0	26	0	3	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alchemilla_coriacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	0	0	0	0	0	0	0	0	0
Alchemilla_xanthochlora	2964	637	1344	1280	1371	83	3122	2105	1506	844	789	2161	37	0	97	88	421	361	0	0	0	0	0	0
Androsace_obtusifolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	32	0	0	0
Anemone_alpina	0	0	0	0	0	0	0	11	0	29	6	0	94	9	106	4	27	0	0	0	0	0	0	0
Antennaria_carpatica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Arabis_alpina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1237	0	0	0	0	19	0
Arabis_soyeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0
Arenaria_ciliata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79
Arnica_montana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Astragalus_alpinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	50	0
Astragalus_norvegicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
Bartsia_alpina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	20	43	141	696	0	0	0
Bellis_perennis	11	3	0	257	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biscutella_laevigata	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calluna_vulgaris	83	988	1103	264	0	0	0	0	0	228	0	45	376	587	61	0	0	0	0	0	0	0	0	0
Caltha_palustris	0	0	0	0	0	0	0	0	0	0	0	0	739	0	659	0	0	0	0	0	0	0	0	0
Campanula_barbata	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	28	1	0	0	0	0	0	0	0
Campanula_rotundifolia	5	18	7	15	2	6	0	17	39	2	4	10	0	0	0	0	0	0	0	0	0	0	0	0
Campanula_scheuchzeri	0	0	0	0	0	0	0	0	0	0	0	0	4	10	9	814	200	550	18	14	105	0	0	0
Capsella_bursa_pastoris	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cardamine_amara	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
Carduus_defloratus	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carlina_acaulis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carum_carvi	4	0	6	403	114	10	0	0	0	37	19	169	0	0	0	0	0	0	0	0	0	0	0	0
Centaurea_jacea	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cerastium_fontanum	0	3	0	0	0	0	0	0	0	5	0	34	0	0	0	0	2	1	0	0	3	0	0	0
Cerastium_uniflorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	8	34	7	88
Chrysosplenium_alternifolium	0	0	0	0	0	0	75	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirsium_acaule	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cirsium_spinosissimum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	3	0	0	0	0	0	0
Clinopodium_acinos	3	0	0	53	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comastoma_nanum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	18	423
Crepis_aurea	7	0	2	3	0	0	0	0	0	1	0	15	0	1	2	3	15	2	0	0	7	0	0	0
Crepis_conyzifolia	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dactylorhiza_maculata	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dianthus_glacialis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	0	0	0	0
Doronicum_glaciale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	3	6	57	3
Dryas_octopetala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	190	378	0	0	0
Epilobium_alsinifolium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Erigeron_uniflorus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	14
