Phylo_species	Insect_family
Co_Ad_Cara	Carabidae
Co_P_Bupre	Buprestidae
Co_P_Canth	Cantharidae
Co_P_Ceram	Cerambycidae
Co_P_Chrys	Chrysomelidae
Co_P_Cleri	Cleridae
Co_P_Cocci	Coccinellidae
Co_P_Crypt	Cryptophagidae
Co_P_Curcu	Curculionidae
Co_P_Elate	Elateridae
Co_P_Melyr	Melyridae
Co_P_Nitid	Nitidulidae
Co_P_Ochod	Oedemeridae
Co_P_Ptini	Ptinidae
Co_P_Scara	Scarabaeidae
Co_P_Staph	Staphylinidae
Coll_Dicyr	Dicyrtomidae
Coll_Entom	Entomobryidae
Coll_Isoto	Isotomidae
Coll_Katia	Katiannidae
Coll_Smint	Sminthuridae
Di_Agromyz	Agromyzidae
Di_Anthomyi	Anthomyiidae
Di_Anthomyz	Anthomyzidae
Di_Asilida	Asilidae
Di_Atheric	Athericidae
Di_Bibioni	Bibionidae
Di_Calliph	Calliphoridae
Di_Carnida	Carnidae
Di_Cecidom	Cecidomyiidae
Di_Ceratop	Ceratopogonidae
Di_Chaobor	Chaoboridae
Di_Chirono	Chironomidae
Di_Chlorop	Chloropidae
Di_Dolicho	Dolichopodidae
Di_Empidid	Empididae
Di_Ephydri	Ephydridae
Di_Ephydri	Camillidae
Di_Fanniid	Fanniidae
Di_Hybotid	Hybotidae
Di_Lauxani	Lauxaniidae
Di_Lonchae	Lonchaeidae
Di_Lonchop	Lonchopteridae
Di_Milichi	Milichiidae
Di_Muscida	Muscidae
Di_Mycetop	Mycetophilidae
Di_Odiniid	Odinidae
Di_Opomyzi	Opomyzidae
Di_Phorida	Phoridae
Di_Piophil	Piophilidae
Di_Pipuncu	Pipunculidae
Di_Platype	Platypezidae
Di_Psilida	Psilidae
Di_Rhagion	Rhagionidae
Di_Rhinoph	Rhinophoridae
Di_Sarcoph	Sarcophagidae
Di_Scathop	Scathophagidae
Di_Scatops	Scatopsidae
Di_Sciarid	Sciaridae
Di_Sepsida	Sepsidae
Di_Sphaero	Sphaeroceridae
Di_Stratio	Stratiomyidae
Di_Syrphid	Syrphidae
Di_Tachini	Tachinidae
Di_Therevi	Therevidae
Di_Tipulid	Tipulidae
Di_Ulidiid	Ulidiidae
Di_Xylopha	Xylophagidae
He_Aphidoi	Aphididae
He_Aradida	Aradidiae
He_Delphac	Delphacidae
He_Issidae	Issidae
He_Lygaeio	Lygaeidae
He_Miridae	Miridae
He_Nabidae	Nabidae
He_Saldida	Saldidae
Hy_Apidae	Apidae
Hy_Braconi	Braconidae
Hy_Chalcid	Chalcidoidea
Hy_Cimbici	Cimbicidae
Hy_Crabron	Crabronidae
Hy_Diaprii	Diapriidae
Hy_Figitid	Figitidae
Hy_Formici	Formicidae
Hy_Ichneum	Ichneumonidae
Hy_Megaspi	Megaspilidae
Hy_Pamphil	Pamphiliidae
Hy_Platyga	Platygastridae
Hy_Pompili	Pompilidae
Hy_Proctot	Proctotrupidae
Hy_Scelion	Scelionidae
Hy_Tenthre	Tenthredinidae
Hy_Xiphydr	Xiphydriidae
Hy_Xyelida	Xyelidae
L_Adelidae	Adelidae
L_Blastoba	Scythrididae
L_Coleopho	Coleophoridae
L_Crambida	Crambidae
L_Gelechid	Gelechiidae
L_Geometri	Geometridae
L_Glyphipt	Glyphipterigidae
L_Hesperii	Hesperiidae
L_Lycaenid	Lycaenidae
L_Micropte	Micropterigidae
L_Nymphali	Nymphalidae
L_Pteropho	Pterophoridae
L_Pyralida	Pyralidae
L_Tortrici	Tortricidae
L_Zygaenid	Zygaenidae
Mec_Bittac	Bittacidae
Mec_Panorb	Panorpidae
Neu_Chryso	Chrysopidae
Or_C_Acrid	Acrididae
Ps_Lachesi	Lachesillidae
Ps_Peripso	Peripsocidae
Rap_Raphid	Raphidiidae
Thy_Aeolot	Aeolothripidae
Thy_Thripi	Thripidae
