Species,Elevation,Body_length,Proboscis_length,Head_diameter,Body_diameter,Weight_dry,Pollen_head,Pollen_thorax,Pollen_legs,Pollen_abdomen
Adia_cinerella,1632,3.36,1.09,1.08,NA,NA,1,2,2,1
Aeolothripidae_sp.,2080,0.91,NA,0.17,0.31,NA,0,1,0,0
Agriphila_sp.,1181,7.8,3.12,3.21,NA,NA,1,0,1,0
Agriphila_sp.,1463,9.32,4.34,1.68,NA,NA,0,0,0,0
Agriphila_straminella,1463,7.105,1.885,0.98,NA,NA,0,0,0,0
Agromyzidae_sp.,1181,1.736,NA,0.568,NA,NA,0.4,1,1.4,0.8
Agromyzidae_sp.,1463,1.9625,NA,0.6975,NA,NA,0.25,0.75,0.5,0.25
Agromyzidae_sp.,1632,1.8425,NA,0.5575,NA,NA,0,0.75,0.5,0
Agromyzidae_sp.,1860,2.785882353,NA,0.886111111,NA,NA,0.222222222,0.611111111,0.555555556,0.333333333
Agromyzidae_sp.,2080,2.413125,NA,0.71125,NA,NA,0.375,0.9375,0.8125,0.625
Agromyzidae_sp.,2283,2.671666667,NA,0.915,NA,NA,0.666666667,1.333333333,0.833333333,1.166666667
Agromyzidae_sp.,2379,1.56,NA,0.5,NA,NA,1,1,1,1
Agromyzidae_sp.,2587,1.99,NA,0.44,NA,NA,0,0,1,0
Ancylis_unguicella,2379,4.86,0.47,0.66,NA,NA,0,0,0,1
Andrena_bicolor,1463,#DIV/0!,1.13,2.78,NA,NA,2,4,3,3
Andrena_cineraria,1181,13.955,2.575,3.52,NA,NA,2,3,3.5,3
Andrena_coitana,1181,7.725,1.845,2.255,NA,NA,NA,NA,NA,NA
Andrena_coitana,1632,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Andrena_hattorfiana,1181,15.135,3.97,3.705,NA,NA,2.5,2.5,3,2.5
Andrena_minutula,1181,6.8,1.9,2.01,NA,NA,2,3,3,2
Andrena_minutula,1463,#DIV/0!,1.21,1.93,NA,NA,0,2,3,1
Andrena_rogenhoferi,2379,14.84,2.52,3.64,NA,NA,3,4,4,4
Andrena_subopaca,1181,6.37,1.54,1.95,NA,NA,1,1,3,1.5
Andrena_subopaca,1463,#DIV/0!,0.53,2,NA,NA,0,2,2,1
Anoplus_sp.,1181,2.89,0.97,0.59,1.22,NA,0,1,2,2
Anoplus_sp.,1632,2.715,0.885,0.52,0.975,NA,0,0,0.5,2
Anoplus_sp.,2283,2.94,0.9155,0.586,1.195,NA,0.6,0.7,2.3,2.7
Anthidium_byssinum,1181,10.87,4.26,3.68,NA,NA,2,3,4,3
Anthomyia_liturata,1463,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Anthomyiidae_sp.,1632,5.66,0.76,1.43,NA,NA,0,1,1,0
Anthomyiidae_sp.,1860,4.13,0.79,1.16,NA,NA,0,0,1,1
Anthomyiidae_sp.,2379,3.09,NA,1.12,NA,NA,0,1,2,1
