Plant_species	Plot	Elevation	Display_size	Flower_diameter	Floral_depth	Petal_width	Petal_length	Stylus_length	Filament_length	Nectar_depth	Nectar_width	Stylus_position	Filament_position	Plant_height	Flower_inclination	Leaf_inclination	Number_leaves	Number_inflorescense	Number_flowers_per_inflo	Leaf_width	Leaf_length	Leaf_thickness	Leaf_Area	Leaf_weight_fresh	Leaf_weight_dry	Succulence	Specific_leaf_weight	Leaf_lobation
Achillea_atrata	Nassfeld	2283	29	1.49	2.73	0.5	2.8	2.76	2.08	2.66	0.62	0.1	-0.58	119	160	155	4	4	39	13.08	35.89	0.4	1.607563546	0.3617	0.0569	1.896037023	0.353951793	4.587044254
Achillea_atrata	Nassfeld	2283	34	1.37	2.84	0.49	2.23	2.88	2.57	2.04	0.72	0.84	0.53	317	165	175	12	7	18	16.06	41.37	0.33	2.014672453	0.3615	0.0675	1.459294287	0.335042056	5.180199559
Achillea_atrata	Nassfeld	2283	41	1.58	3.01	0.51	2.35	3.01	3.1	2.15	0.61	0.86	0.95	132	170	170	4	6	19	7.9	24.5	0.4	0.908589929	0.1967	0.0354	1.775278317	0.389614708	3.346147908
Achillea_atrata	Nassfeld	2283	27	1.84	3.29	0.67	2.53	3.41	3.24	2.03	0.7	1.38	1.21	170	175	145	8	3	13	10.88	34.8	0.46	1.324033891	0.4143	0.0651	2.637394725	0.491679257	4.491887953
Achillea_atrata	Nassfeld	2283	36	1.64	3.36	0.61	2.61	3.37	2.89	2.59	0.76	0.78	0.3	235	175	170	12	6	37	14.11	37.27	0.42	2.35820073	0.5466	0.1106	1.848867208	0.469001636	3.502882052
Achillea_atrata	Nassfeld	2283	21	2.18	3.67	0.53	2.91	3.67	2.98	2.7	0.86	0.97	0.28	115	175	135	9	2	19	10.89	27.57	0.39	1.424054557	0.3244	0.0723	1.770297344	0.507705268	3.311752669
Achillea_atrata	Nassfeld	2283	30	1.57	3.77	0.56	3.2	3.77	3.02	2.29	0.82	1.48	0.73	155	180	125	7	5	21	18.06	43.3	0.37	2.488806227	0.4888	0.1023	1.552953363	0.411040437	4.935537257
Achillea_millefolium	Fuscher_Tal	1181	26.57	1.01	2.09	0.38	0.78	0.89	0.71	0.58	0.36	0.31	0.13	275	160	130	8	4	38	5.51	29.43	0.13	1.023402778	0.2177	0.0948	1.200895704	0.926321503	2.488944121
Achillea_millefolium	Fuscher_Tal	1181	40.64	0.86	2.38	0.45	1.05	0.83	0.83	0.85	0.37	-0.02	-0.02	440	170	110	9	3	61	8.94	70.94	0.12	3.759930556	0.3904	0.3617	NA	0.961985852	2.649529481
Achillea_millefolium	Fuscher_Tal	1181	44.37	0.54	2.4	0.28	1.01	0.83	1.17	1	0.3	-0.17	0.17	405	170	120	6	2	76	16.1	170	0.17	10.42604167	1.1281	1.0327	NA	0.990500549	4.123587534
Achillea_millefolium	Fuscher_Tal	1181	38.64	0.88	2.53	0.39	1.14	1.14	1.25	1.68	0.55	-0.54	-0.43	347	145	90	7	3	52	11.7	74.52	0.12	4.906597222	0.4822	0.4329	NA	0.882281509	2.791246403
Achillea_millefolium	Fuscher_Tal	1181	45.86	1.16	2.54	1.11	0.58	0.72	1.19	1.29	0.51	-0.57	-0.1	308	180	110	6	8	49	6.1	40.59	0.22	1.660208333	0.4038	0.1603	1.466683398	0.965541473	2.342643342
Achillea_millefolium	Fuscher_Tal	1181	23.22	0.94	4.38	0.55	1.05	1.04	0.86	0.58	0.5	0.46	0.28	94	155	120	8	9	10	5.36	20.99	0.12	0.749236111	0.1523	0.0811	0.950301233	1.082435814	2.358730943
Achillea_millefolium	Fuscher_Tal	1181	35.41	0.72	2.11	0.45	0.92	0.55	0.75	0.78	0.54	-0.23	-0.03	267	160	110	6	6	41	5.12	65.19	0.14	2.422986111	0.3068	0.2744	NA	1.132486888	2.16381384
Achillea_millefolium	Hochmais	1860	34.92	1.54	1.06	0.63	1.45	1.69	1.55	0.86	0.68	0.83	0.69	148	165	160	12	7	42	11.21	54.03	0.27	3.804518114	1.1547	0.2966	2.255476185	0.77959939	2.500695433
Achillea_millefolium	Hochmais	1860	27.06	1.54	1.16	0.43	1.71	2.41	2.23	1.32	1	1.09	0.91	282	180	135	7	6	28	12.01	54.72	0.3	2.817107288	0.6296	0.1845	1.579989523	0.654927133	3.664422879
Achillea_millefolium	Hochmais	1860	32.27	1.83	1.17	0.51	1.46	1.77	1.53	0.92	0.73	0.85	0.61	223	180	135	6	4	32	15.32	60.15	0.23	4.073366904	1.0832	0.242	2.065122096	0.594103123	3.553536197
Achillea_millefolium	Hochmais	1860	31.07	1.49	1.34	0.47	1.95	2.1	1.67	1.08	0.83	1.02	0.59	183	180	95	9	8	24	13.11	51.97	0.26	3.522100993	0.7467	0.1999	1.552482456	0.567558967	3.038599631
Achillea_millefolium	Hochmais	1860	58.5	1.45	1.71	0.43	1.57	2.21	1.87	1.03	0.78	1.18	0.84	249	180	170	9	7	86	18.08	81.22	0.24	6.913064764	1.8149	0.4354	1.995497	0.62982196	3.336650072
Achillea_millefolium	Hochmais	1860	35.32	1.17	1.71	0.51	1.63	2.54	1.97	1.15	1.05	1.39	0.82	479	180	105	4	5	43	25.12	56.8	0.27	6.22170933	1.5163	0.3406	1.889673621	0.547437982	3.602285502
Achillea_millefolium	Hochmais	1860	26.87	1.42	1.89	0.46	1.81	1.94	1.87	1.32	0.81	0.62	0.55	208	180	125	2	4	32	19.74	69.01	0.24	5.380472793	1.3099	0.2377	1.99276168	0.441782738	3.977027675
Achillea_millefolium	Piffalpe	1463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	327	180	110	6	NA	NA	17.33	48.14	0.31	3.669096313	0.897	NA	NA	NA	3.571621377
Achillea_millefolium	Piffalpe	1463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	286	170	120	4	NA	NA	9.98	57.53	0.18	2.431038143	0.621	0.1836	1.799231334	0.755232905	3.709821547
Achillea_millefolium	Piffalpe	1463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	349	180	85	5	NA	NA	9.34	62.66	0.17	3.570094119	0.932	0.3416	1.653737914	0.956837519	2.575001451
Achillea_millefolium	Piffalpe	1463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	244	180	135	6	NA	NA	9.15	67.26	0.22	3.639020593	0.851	0.3413	1.400651596	0.937889719	2.656521413
Achillea_millefolium	Piffalpe	1463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	157	180	90	9	NA	NA	7.14	45.56	0.21	1.950321987	0.473	0.17	1.553589623	0.871650943	2.619964986
Achillea_millefolium	Piffalpe	1463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	224	175	100	4	NA	NA	10.41	53.86	0.19	3.262684877	0.744	0.2743	1.439611908	0.840718642	2.699366325
Achillea_millefolium	Piffalpe	1463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	403	180	90	5	NA	NA	19.15	62.66	0.15	5.379874036	1.188	0.3529	1.552266827	0.655963314	3.503538858
Achillea_millefolium	Piffalpe	1463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	365	175	120	8	NA	NA	12.43	58.89	0.25	4.280730309	0.819	0.2537	1.32056906	0.592655883	2.686053709
Achillea_millefolium	Schupfer_Hochalm	1632	39	1.25	2.07	0.41	2.56	2.52	2.2	1.98	0.61	0.54	0.22	243	180	135	4	8	27	12.41	47.52	0.25	3.284153386	1.0126	0.2514	2.317796736	0.765494088	2.820620499
Achillea_millefolium	Schupfer_Hochalm	1632	37.71	1.44	2.19	0.47	2.39	2.43	2.7	2.05	0.44	0.38	0.65	425	180	120	7	3	38	18.43	70.17	0.19	6.900619389	2.0186	0.5754	2.091406465	0.833838193	2.943802127
Achillea_millefolium	Schupfer_Hochalm	1632	31.22	1.51	2.3	0.33	2.7	2.3	2.31	1.83	0.61	0.47	0.48	318	180	115	7	1	31	7.7	36.42	0.13	1.912589603	0.5225	0.1333	2.03493734	0.696960811	2.303184627
Achillea_millefolium	Schupfer_Hochalm	1632	44.15	1.04	2.99	0.38	2.38	2.81	2.6	1.87	0.52	0.94	0.73	356	180	90	5	3	74	11.33	47.53	0.12	3.424177048	0.7621	0.2684	1.441806288	0.783837974	2.4703665
Achillea_millefolium	Schupfer_Hochalm	1632	45.53	1.24	3.12	0.34	2.23	2.85	2.95	2.28	0.48	0.57	0.67	242	180	155	10	5	50	11.53	41.74	0.19	2.587097223	0.6698	0.219	1.742493463	0.846508581	2.922058318
Achillea_millefolium	Schupfer_Hochalm	1632	53.17	1.61	3.25	0.38	2.84	3.17	3.22	2.35	0.48	0.82	0.87	482	180	90	5	2	19	13.08	67.88	0.22	6.213654395	1.5644	0.4027	1.869592234	0.648088829	2.244514217
Achillea_millefolium	Schupfer_Hochalm	1632	44.49	1.12	3.26	0.48	2.62	3.05	2.53	2.03	0.43	1.02	0.5	408	180	135	9	9	103	8.28	68.7	0.14	3.785023314	0.7152	0.2861	1.133678618	0.755873812	2.360686911
Aconitum_tauricum	Nassfeld	2283	32.37	5.48	17.36	6.78	11.12	7.52	5.24	5.8	6.62	1.72	-0.56	382	85	90	11	13	1	NA	NA	NA	18.12563749	2.1073	1.0906	0.560918202	0.601689182	NA
