Plant_species,Display_size,Floral_depth,Community
Campanula_scheuchzeri,17.68,18.71,18
Geum_montanum,25.76,13.69,18
Saxifraga_androsacea,11,4.69,18
Ligusticum_mutellina,27.89,1.05,18
Parnassia_palustris,26.17,12.48,18
Persicaria_vivipara,8.22,4.22,18
Leontodon_hispidus,33.51,21.6,18
Trifolium_pratense,31.56,16.87,18
Ranunculus_montanus,15.74,12.12,18
Saxifraga_aizoides,21.59,3.07,18
Crepis_aurea,36.82,14.72,18
Ranunculus_alpestris,16.56,6.58,18
Potentilla_aurea,13.56,6.77,18
Myosotis_alpestris,17.98,4.55,18
Arabis_alpina,25.76,7.03,18
Aconitum_tauricum,39.87,18.26,18
Campanula_scheuchzeri,23.01,16.04,15
Phyteuma_hemisphaericum,18.87,12.26,15
Silene_vulgaris,16.35,19.2,15
Ranunculus_acris,17.23,6.64,15
Silene_acaulis,7.93,6.23,15
Thymus_praecox,15.48,6.94,15
Leontodon_hispidus,33.63,14.72,15
Hypericum_maculatum,14.76,7.06,15
Anemone_alpina,39.01,19.75,15
Vaccinium_myrtillus,6.22,4.42,15
Geum_montanum,30.89,5.89,15
Veratrum_album,345,10.31,15
Potentilla_erecta,9.9,4.79,15
Ranunculus_montanus,19.98,10.41,15
Gentiana_acaulis,33.66,46.94,15
Trifolium_repens,15.16,7.43,15
