Identifier,Family,Order
Agromyzidae,Agromyzidae,Diptera
Andrena,Andrenidae,Hymenoptera
Anthidium,Megachilidae,Hymenoptera
Anthomyiidae2,Anthomyiidae,Diptera
Aphididae,Aphididae,Hemiptera
Apidae,Apidae,Hymenoptera
Apis,Apidae,Hymenoptera
Auchenorrhyncha,Auchenorrhyncha,Hemiptera
Bombus,Apidae,Hymenoptera
Botanophila,Anthomyiidae,Diptera
Bradysia,Sciaridae,Diptera
Calliphoridae,Calliphoridae,Diptera
Carnidae,Calliphoridae,Diptera
Ceratopogonidae,Ceratopogonidae,Diptera
Chalcidoidea,Chalcidoidea,Hymenoptera
Cheilosia,Syrphidae,Diptera
Chloropidae,Chloropidae,Diptera
Chrysomelidae,Chrysomelidae,Coleoptera
Chrysotoxum,Syrphidae,Diptera
Coenosia,Muscidae,Diptera
Diplonevra,Phoridae,Diptera
Dolichopodidae,Dolichopodidae,Diptera
Drymeia,Muscidae,Diptera
Elateridae,Elateridae,Coleoptera
Empididae,Empididae,Diptera
Ephydridae,Ephydridae,Diptera
Epidapus,Sciaridae,Diptera
Epistrophe,Syrphidae,Diptera
Episyrphus,Syrphidae,Diptera
Eristalis,Syrphidae,Diptera
Eupeodes,Syrphidae,Diptera
Formica,Formicidae,Hymenoptera
Haematobia,Muscidae,Diptera
Ichneumonidae,Ichneumonidae,Hymenoptera
Issidae,Issidae,Hemiptera
Lasioglossum,Halictidae,Hymenoptera
Lasius,Formicidae,Hymenoptera
Leptothorax,Formicidae,Hymenoptera
Megaselia,Phoridae,Diptera
Micropterix,Micropterigidae,Lepidoptera
Miridae,Miridae,Hemiptera
Musca,Muscidae,Diptera
Muscidae10,Muscidae,Diptera
Muscidae3,Muscidae,Diptera
Muscidae8,Muscidae,Diptera
Muscidae9,Muscidae,Diptera
Myolepta,Syrphidae,Diptera
Nitidulidae,Nitidulidae,Coleoptera
Pegoplata,Anthomyiidae,Diptera
Phoridae,Phoridae,Diptera
Platycheirus,Syrphidae,Diptera
Platygastridae,Platygastridae,Hymenoptera
Rhagionidae,Rhagionidae,Diptera
Saltella,Sepsidae,Diptera
Sarcophaga,Sarcophagidae,Diptera
Sarcophagidae,Sarcophagidae,Diptera
Scarabaeidae,Scarabaeidae,Coleoptera
Sciara,Sciaridae,Diptera
Sepsis,Sepsidae,Diptera
Siphona,Tachinidae,Diptera
Sphaerophoria,Syrphidae,Diptera
Syrphidae,Syrphidae,Diptera
Syrphus,Syrphidae,Diptera
Themira,Sepsidae,Diptera
Thricops,Muscidae,Diptera
Thripidae,Thripidae,Thysanoptera
Agriphila,Crambidae,Lepidoptera
Anoplus,Curculionidae,Coleoptera
Aradidae,Aradidae,Hemiptera
Arctophila,Syrphidae,Diptera
Asilidae,Asilidae,Diptera
Braconidae,Braconidae,Hymenoptera
Cerambycidae,Cerambycidae,Coleoptera
Chrysoteuchia,Crambidae,Lepidoptera
Eusphalerum,Staphylinidae,Coleoptera
Halictus,Halictidae,Hymenoptera
Hesperia,Hesperiidae,Lepidoptera
Heterostylodes,Anthomyiidae,Diptera
Lygaeidae,Lygaeidae,Hemiptera
Meigenia,Tachinidae,Diptera
Meoneura,Carnidae,Diptera
Morellia,Muscidae,Diptera
Muscidae11,Muscidae,Diptera
Nomada,Apidae,Hymenoptera
Pempeliella,Pyralidae,Lepidoptera
Peripsocidae,Peripsocidae,Psocoptera
Plebejus,Lycaenidae,Lepidoptera
Rhingia,Syrphidae,Diptera
Rhinophoridae,Rhinophoridae,Diptera
Saldidae,Saldidae,Hemiptera
Scaeva,Syrphidae,Diptera
Scathophagidae,Scathophagidae,Diptera
Scatopsidae,Scatopsidae,Diptera
Sciaridae,Sciaridae,Diptera
Tachinidae,Tachinidae,Diptera
Tenthredinidae,Tenthredinidae,Hymenoptera
Thomisidae,Thomisidae,Araneae
Triphleba,Phoridae,Diptera
Bibionidae,Bibionidae,Diptera
Cantharidae,Cantharidae,Coleoptera
Cecidomyiidae,Cecidomyiidae,Diptera
Chironomidae,Chironomidae,Diptera
Coccinellidae,Coccinellidae,Coleoptera
Coleophora,Coleophoridae,Lepidoptera
Crambinae,Crambinae,Lepidoptera
Crambus,Crambinae,Lepidoptera
Cratyna,Sciaridae,Diptera
Delia2,Anthomyiidae,Diptera
Delphacidae,Delphacidae,Hemiptera
Figitidae,Figitidae,Hymenoptera
Gelechiidae3,Gelechiidae,Lepidoptera
Hylaeus,Colletidae,Hymenoptera
Milichiidae,Milichiidae,Diptera
Muscidae,Muscidae,Diptera
Mycetophilidae,Mycetophilidae,Diptera
Phaonia,Muscidae,Diptera
Phora,Phoridae,Diptera
Phyllopertha,Scarabaeidae,Coleoptera
Pompilidae,Pompilidae,Hymenoptera
Sphaeroceridae,Sphaeroceridae,Diptera
Stratiomyidae,Stratiomyidae,Diptera
Zygaena,Zagaenidae,Lepidoptera
Bittacidae,Bittacidae,Mecoptera
Bruchidae,Chrysomelidae,Coleoptera
Cauchas,Adelidae,Lepidoptera
Chrysoperla,Chrysopidae,Neuroptera
Conicera,Phoridae,Diptera
Estheria,Tachinidae,Diptera
Fanniidae,Fanniidae,Diptera
Formicidae,Formicidae,Hymenoptera
Glyphipterix,Glyphipterigidae,Lepidoptera
Hydrophoria,Anthomyiidae,Diptera
Hydrotaea,Muscidae,Diptera
Hylemya,Anthomyiidae,Diptera
Lachesillidae,Lachesillidae,Psocoptera
Lauxaniidae,Lauxaniidae,Diptera
Lepidoptera,,Lepidoptera
Lonchaeidae,Lonchaeidae,Diptera
Lonchopteridae,Lonchopteridae,Diptera
Megaspilidae,Megaspilidae,Hymenoptera
Mellinus,Crabronidae,Hymenoptera
Muscidae4,Muscidae,Diptera
Muscidae5,Muscidae,Diptera
Oedemeridae,Oedemeridae,Coleoptera
Pamphiliidae,Pamphiliidae,Hymenoptera
Pipunculidae,Pipunculidae,Diptera
Ptinidae,Ptinidae,Coleoptera
Scelionidae,Platygastridae,Hymenoptera
Tipulidae,Tipulidae,Diptera
Anthomyia,Anthomyiidae,Diptera
Chaoboridae,Chaoboridae,Diptera
Corynoptera,Sciaridae,Diptera
Curculionidae,Curculionidae,Coleoptera
Gelechiidae1,Gelechiidae,Lepidoptera
Gelechiidae2,Gelechiidae,Lepidoptera
Nabidae,Nabidae,Hemiptera
Salticidae,Salticidae,Araneae
Pterophoridae,Pterophoridae,Lepidoptera
Raphidiidae,Raphidiidae,Raphidioptera
Adia,Anthomyiidae,Diptera
Anthomyiidae,Anthomyiidae,Diptera
Hybotidae,Hybotidae,Diptera
Melanostoma,Syrphidae,Diptera
Panorpa,Panorpidae,Diptera
Psilidae,Psilidae,Diptera
Udea,Crambidae,Lepidoptera
Buprestidae,Buprestidae,Coleoptera
Dinera,Tachinidae,Diptera
Geomyza,Opomyzidae,Diptera
Lycosidae,Lycosidae,Araneae
Athericidae,Athericidae,Diptera
Chiastocheta,Anthomyiidae,Diptera
Cleridae,Cleridae,Coleoptera
Erebia,Nymphalidae,Lepidoptera
Macaria,Geometridae,Lepidoptera
Phiaris,Tortricidae,Lepidoptera
Staphylinidae,Staphylinidae,Coleoptera
Aterpia,Tortricidae,Lepidoptera
Claustropyga,Sciaridae,Diptera
Dilophus,Bibionidae,Diptera
Diptera,,Diptera
Sepsidae,Sepsidae,Diptera
Ulidiidae,Ulidiidae,Diptera
Xanthorhoe,Geometridae,Lepidoptera
Xylophagidae,Xylophagidae,Diptera
Anthomyzidae,Anthomyzidae,Diptera
Anthophagus,Staphylinidae,Coleoptera
Eana,Tortricidae,Lepidoptera
Muscidae2,Muscidae,Diptera
Platypezidae,Platypezidae,Diptera
Proctotrupidae,Proctotrupidae,Hymenoptera
Tortricidae,Tortricidae,Lepidoptera
Acari,,Acari-Subclass
Catoptria,Crambidae,Lepidoptera
Cecidomyiidae2,Cecidomyiidae,Diptera
Cecidomyiidae3,Cecidomyiidae,Diptera
Chorthippus,Acrididae,Orthoptera
Cryptophagidae,Cryptophagidae,Coleoptera
Glacies,Geometridae,Lepidoptera
Macquartia,Tachinidae,Diptera
Phorbia,Anthomyiidae,Diptera
Piophilidae,Piophilidae,Diptera
Camillidae,Camillidae,Diptera
Epinotia,Tortricidae,Lepidoptera
Vacciniina,Lycaenidae,Lepidoptera
Aeolothripidae,Aeolothripidae,Thysanoptera
Fannia,Fanniidae,Diptera
Katiannidae,Katiannidae,Collembola
Xyelidae,Xyelidae,Hymenoptera
Carabidae,Carabidae,Coleoptera
Entomobryidae,Entomobryidae,Entomobryomorpha
Orygma,Sepsidae,Diptera
