"","f_elevation","transect","name","elevation","elevation2","elevation3","floral_phylo_diversity","floral_species_richness","floral_hill_shannon","floral_all_traits_weighted","floral_display_weighted","floral_morpho_weighted","floral_nectar_weighted","floral_pollen_weighted","floral_color_weighted","floral_all_traits_unweighted","floral_display_unweighted","floral_morpho_unweighted","floral_nectar_unweighted","floral_pollen_unweighted","floral_color_unweighted","pollinator_phylo_diversity","pollinator_species_richness","pollinator_hill_shannon","pollinator_unweighted","pollinator_weighted","weighted_NODF","H2","modularity","interaction_shannon_diversity","floral_abundance","pollinator_abundance","floral_cover"
"1","1181","1","1181.1",1179,1390041,1638858339,1768.314861,34,5.556,0.7111245765342,0.55502588997141,0.23348699950497,0.0866373184573752,0.33337721214287,0.604720819731469,0.794387814903762,0.753497019614748,0.517631295645297,0.256461009541618,0.515429195380922,0.931138748466268,10416.384997,46,28.1,0.852080644064861,0.84073801079626,9.4621372965322,0.352108891877452,0.485175308641975,4.48619903404047,4988,225,39.420000001
"2","1181","2","1181.2",1181,1394761,1647212741,2252.0548445,44,11.757,0.767562226312518,0.636668972431285,0.436815629494766,0.285270453948728,0.449592583833572,0.786942389646381,0.808149023945958,0.79731615483999,0.558646491537021,0.308064004427089,0.536184262984179,0.935388021935086,13063.668087,58,32.403,0.858620233284551,0.873099805639298,8.63815755063909,0.460316594935015,0.536820788168931,4.47277810681334,5558,359,49.449999992
"3","1181","3","1181.3",1184,1401856,1659797504,1932.295261,35,6.868,0.711436482024255,0.553416163053239,0.359201489141074,0.210715023578045,0.399307929910794,0.708776287189871,0.77074527933014,0.735181167137228,0.534368044835658,0.29802304594193,0.522702784443591,0.943067315842715,11517.071452,49,32.385,0.841789354016814,0.84484722420328,12.8304353868688,0.505271743258582,0.540781893004115,4.23189029692241,6163,270,36.116666667
"4","1463","1","1463.1",1460,2131600,3112136000,2328.911984,51,18.879,0.794337103106359,0.70286288813092,0.511445733650663,0.207605005330967,0.604604014170329,0.917619733067693,0.817948303102622,0.744283470962009,0.565240474645408,0.26568271509103,0.542108164884825,0.961513997383737,11493.703067,49,23.564,0.863923303281124,0.490707304822413,12.7455331360046,0.296692519430453,0.396169544004504,4.57361196757016,4739,292,45.6
"5","1463","2","1463.2",1463,2140369,3131359847,2199.2977025,45,15.4,0.775087554748011,0.668524201377193,0.395239067265878,0.126158620275225,0.54837290007397,0.953506257166443,0.748137297028397,0.663924198292703,0.527876939165415,0.222016204782045,0.512909223672386,0.970223026606497,8859.960087,33,20.107,0.753935076914316,0.506295904662881,12.3634594739667,0.325589850355995,0.392723054851806,4.12823297302156,3888,181,45.5
"6","1463","3","1463.3",1467,2152089,3157114563,1188.039736,16,10.785,0.711108538416724,0.649225729534701,0.461380599377791,0.232631794505133,0.578954584244872,0.923740825433969,0.70575595446308,0.682230001156941,0.426130275620176,0.190779425999058,0.435637352768954,0.905690646731822,6129.739377,20,17.875,0.803963162575127,0.643170788469915,11.422056384743,0.357820016629194,0.470703125,3.51527511051017,602,64,49.3
"7","1632","1","1632.1",1628,2650384,4314825152,1350.6298115,21,3.288,0.664787799123646,0.627724561386484,0.321799243914657,0.0773192359088484,0.333345628663527,0.914658795325439,0.668113325085496,0.621325827637361,0.432978665425836,0.188961789099114,0.411751233761525,0.949799024789713,8893.670642,37,8.759,0.814925205453793,0.291842270327835,25.9286984573244,0.259270699966798,0.229080932784637,3.03657296772671,4364,594,38.600000004
"8","1632","2","1632.2",1632,2663424,4346707968,1513.8291945,26,3.465,0.730718789426061,0.603076549958684,0.497476051926749,0.34170683671413,0.537554042085534,0.885894432645367,0.698373309659053,0.59195298443244,0.513556446453381,0.258144471704677,0.477912130166904,0.909270391502824,8626.993842,34,9.553,0.762345266859911,0.329591793882013,21.5560733836366,0.314172536874995,0.33571599686628,3.47567036446634,2817,393,46.166666668
"9","1632","3","1632.3",1636,2676496,4378747456,1858.026974,32,5.808,0.72338501929208,0.624396373101043,0.534540480112805,0.310379299073212,0.565066635251356,0.788864559209877,0.814541261550877,0.667885333490372,0.663244064335896,0.387781586164728,0.693289674810287,0.861312683866376,8879.531257,37,11.3,0.828153782235689,0.41300754516477,16.6332253165768,0.292001317888467,0.336949562174787,3.83421724786559,2547,333,48.549999996
"10","1860","1","1860.1",1856,3444736,6393430016,1839.743268,30,10.788,0.786696502855951,0.65559353142493,0.494925746523632,0.187381662944646,0.530505078418883,0.769592258384419,0.863941783530073,0.72041070416493,0.747637348168651,0.370271132662687,0.708871403660841,0.927031937727154,8227.569167,32,10.31,0.65741128717691,0.241360640549019,23.3753479575207,0.263956568765306,0.256644765458666,3.66462075364078,3068,419,39.566666667
