species,level,network,elevation,n.elevation,transect,degree,species.strength,NSI,betweenness,partner.diversity,d
Achillea_millefolium,Plant,1181.1,1181,1181,1,1,0.05,1.80769230769231,0,0,0.268324336648371
Alchemilla_xanthochlora,Plant,1181.1,1181,1181,1,12,4.22441724941725,1.23076923076923,0.0826436583177949,2.10480809835629,0.276211948532022
Bellis_perennis,Plant,1181.1,1181,1181,1,3,1.35151515151515,1.61538461538462,0.000518134715025907,0.796311640173813,0.527886530007543
Calluna_vulgaris,Plant,1181.1,1181,1181,1,2,0.0756410256410257,1.42307692307692,0.0178277528628032,0.693147180559945,0.141611958067423
Campanula_rotundifolia,Plant,1181.1,1181,1181,1,2,0.151515151515152,1.61538461538462,0.00115141047783535,0.636514168294813,0.288757620047879
Carum_carvi,Plant,1181.1,1181,1181,1,2,0.516666666666667,1.92307692307692,0,0.693147180559945,0.382888679728032
Centaurea_jacea,Plant,1181.1,1181,1181,1,3,0.348351648351648,1.73076923076923,0.030333739713502,1.03972077083992,0.353771762566384
Galium_mollugo,Plant,1181.1,1181,1181,1,3,0.433333333333333,1.69230769230769,0.00394769306686405,1.09861228866811,0.370018111934887
Hypericum_maculatum,Plant,1181.1,1181,1181,1,1,0.0769230769230769,2,0,0,0.338752161066281
Leontodon_hispidus,Plant,1181.1,1181,1181,1,23,8.89136141636142,1.19230769230769,0.093388938158665,2.91283325526318,0.388788990837459
Leucanthemum_vulgare,Plant,1181.1,1181,1181,1,5,0.826623376623377,1.57692307692308,0.00166954519286126,1.49417513828931,0.407428641077298
Lotus_corniculatus,Plant,1181.1,1181,1181,1,1,1,,0,0,1
Parnassia_palustris,Plant,1181.1,1181,1181,1,1,1,,0,0,1
Pimpinella_major,Plant,1181.1,1181,1181,1,19,9.99148629148629,1.30769230769231,0.0772895995958605,2.39930670175906,0.42672710660029
Plantago_lanceolata,Plant,1181.1,1181,1181,1,5,1.94055944055944,1.34615384615385,0.0216424048030266,1.47507631105469,0.445031942206447
Plantago_media,Plant,1181.1,1181,1181,1,6,1.60660450660451,1.42307692307692,0.0109610165309647,1.64884707167248,0.437494461530668
Polygala_vulgaris,Plant,1181.1,1181,1181,1,1,0.0256410256410256,1.53846153846154,0,0,0.105214133677762
Potentilla_aurea,Plant,1181.1,1181,1181,1,7,1.89230769230769,1.34615384615385,0.0370480834820975,1.90615474653985,0.323380382009529
Potentilla_erecta,Plant,1181.1,1181,1181,1,12,5.66282051282051,1.30769230769231,0.064873628753383,2.13032630286671,0.385256518522495
Prunella_vulgaris,Plant,1181.1,1181,1181,1,3,0.294039294039294,1.46153846153846,0.105229509311224,0.796311640173813,0.385370394951555
Ranunculus_acris,Plant,1181.1,1181,1181,1,20,8.73911088911089,1.19230769230769,0.097965642033561,2.72094393651016,0.389262926679814
Ranunculus_alpestris,Plant,1181.1,1181,1181,1,2,0.5,2,0,0.693147180559945,0.642611208774997
Rumex_alpestris,Plant,1181.1,1181,1181,1,1,1,,0,0,1
Scabiosa_columbaria,Plant,1181.1,1181,1181,1,2,0.383333333333333,1.76923076923077,0.00117197137922527,0.693147180559945,0.472235877534283
Scorzoneroides_autumnalis,Plant,1181.1,1181,1181,1,6,1.12692307692308,1.34615384615385,0.0432092116912214,1.64341771979318,0.333192011893436
Taraxacum_campylodes,Plant,1181.1,1181,1181,1,21,10.2845071595072,1.23076923076923,0.0759080597969576,2.31875945384719,0.374974541321958
Thymus_praecox,Plant,1181.1,1181,1181,1,8,3.34990842490843,1.23076923076923,0.233220000117127,1.58490244163778,0.635935165735154
Trifolium_pratense,Plant,1181.1,1181,1181,1,1,0.192307692307692,2,0,0,0.529176438490909
Trifolium_repens,Plant,1181.1,1181,1181,1,1,0.0384615384615385,2,0,0,0.204244662727352
Veronica_chamaedrys,Plant,1181.1,1181,1181,1,1,0.0256410256410256,1.53846153846154,0,0,0.105214133677762
Agromyzidae,Animal,1181.1,1181,1181,1,3,0.187996031746032,1.54838709677419,0.0184491217947933,1.09861228866811,0.200668258322852
Andrena,Animal,1181.1,1181,1181,1,4,0.350400516795866,1.35483870967742,0.0323192152646456,1.33217904021012,0.223776695472292
Anthidium,Animal,1181.1,1181,1181,1,1,1,,0,0,1
Anthomyiidae2,Animal,1181.1,1181,1181,1,3,0.228207174342605,1.32258064516129,0.0238086453959375,0.934769897858279,0.269918215966239
